student,title,type,status,final score
advisorj,T02D02,INDIVIDUAL,ACCEPTED,75
almedace,T02D02,INDIVIDUAL,FAILED,0
amadagra,T02D02,INDIVIDUAL,FAILED,0
amandaci,T02D02,INDIVIDUAL,ACCEPTED,125
anyamode,T02D02,INDIVIDUAL,FAILED,0
arethari,T02D02,INDIVIDUAL,FAILED,0
artieulr,T02D02,INDIVIDUAL,FAILED,0
auradaba,T02D02,INDIVIDUAL,FAILED,0
baileyre,T02D02,INDIVIDUAL,FAILED,0
balonchr,T02D02,INDIVIDUAL,FAILED,0
balonsno,T02D02,INDIVIDUAL,FAILED,0
bantamko,T02D02,INDIVIDUAL,FAILED,0
barbrawu,T02D02,INDIVIDUAL,FAILED,0
bethelgr,T02D02,INDIVIDUAL,FAILED,0
billysan,T02D02,INDIVIDUAL,FAILED,0
bornpatr,T02D02,INDIVIDUAL,FAILED,0
brentonc,T02D02,INDIVIDUAL,ACCEPTED,118
brucetoy,T02D02,INDIVIDUAL,FAILED,0
brunavan,T02D02,INDIVIDUAL,FAILED,0
caitdumb,T02D02,INDIVIDUAL,FAILED,0
caladanl,T02D02,INDIVIDUAL,FAILED,0
careymis,T02D02,INDIVIDUAL,FAILED,0
caswelld,T02D02,INDIVIDUAL,FAILED,0
caswellq,T02D02,INDIVIDUAL,FAILED,0
celsafer,T02D02,INDIVIDUAL,FAILED,0
chesthil,T02D02,INDIVIDUAL,FAILED,0
chestshr,T02D02,INDIVIDUAL,FAILED,0
cindiese,T02D02,INDIVIDUAL,FAILED,0
cotterge,T02D02,INDIVIDUAL,FAILED,0
crowbrya,T02D02,INDIVIDUAL,FAILED,0
cumquatl,T02D02,INDIVIDUAL,FAILED,0
cyrusgar,T02D02,INDIVIDUAL,FAILED,0
darcytaj,T02D02,INDIVIDUAL,FAILED,0
daynasar,T02D02,INDIVIDUAL,FAILED,0
deodatth,T02D02,INDIVIDUAL,FAILED,0
desperop,T02D02,INDIVIDUAL,FAILED,0
dhansakp,T02D02,INDIVIDUAL,FAILED,0
dianeevi,T02D02,INDIVIDUAL,FAILED,0
diedraje,T02D02,INDIVIDUAL,FAILED,0
diedrero,T02D02,INDIVIDUAL,FAILED,0
dorrisst,T02D02,INDIVIDUAL,FAILED,0
effietif,T02D02,INDIVIDUAL,FAILED,0
eladiare,T02D02,INDIVIDUAL,FAILED,0
elannama,T02D02,INDIVIDUAL,FAILED,0
elijahth,T02D02,INDIVIDUAL,FAILED,0
ellabaie,T02D02,INDIVIDUAL,FAILED,0
elliottd,T02D02,INDIVIDUAL,ACCEPTED,87
enokiatk,T02D02,INDIVIDUAL,FAILED,0
erenacla,T02D02,INDIVIDUAL,FAILED,0
essieale,T02D02,INDIVIDUAL,FAILED,0
ethicalc,T02D02,INDIVIDUAL,FAILED,0
eulaurro,T02D02,INDIVIDUAL,FAILED,0
evenstar,T02D02,INDIVIDUAL,FAILED,0
farrahro,T02D02,INDIVIDUAL,FAILED,0
fenrircr,T02D02,INDIVIDUAL,FAILED,0
flammezo,T02D02,INDIVIDUAL,FAILED,0
fletamal,T02D02,INDIVIDUAL,FAILED,0
frynneli,T02D02,INDIVIDUAL,FAILED,0
galinagl,T02D02,INDIVIDUAL,FAILED,0
gauntter,T02D02,INDIVIDUAL,FAILED,0
geroldke,T02D02,INDIVIDUAL,FAILED,0
gerstens,T02D02,INDIVIDUAL,FAILED,0
gladisde,T02D02,INDIVIDUAL,FAILED,0
gruntinf,T02D02,INDIVIDUAL,FAILED,0
haywardt,T02D02,INDIVIDUAL,FAILED,0
hilaryle,T02D02,INDIVIDUAL,ACCEPTED,88
hothoreg,T02D02,INDIVIDUAL,FAILED,0
howdjese,T02D02,INDIVIDUAL,FAILED,0
ibleelec,T02D02,INDIVIDUAL,ACCEPTED,123
illaoiar,T02D02,INDIVIDUAL,FAILED,0
isaacshe,T02D02,INDIVIDUAL,FAILED,0
jamissaf,T02D02,INDIVIDUAL,FAILED,0
jasperal,T02D02,INDIVIDUAL,FAILED,0
jeramymi,T02D02,INDIVIDUAL,FAILED,0
joanacla,T02D02,INDIVIDUAL,FAILED,0
johnnyge,T02D02,INDIVIDUAL,FAILED,0
johnsien,T02D02,INDIVIDUAL,FAILED,0
jothskin,T02D02,INDIVIDUAL,FAILED,0
jovansha,T02D02,INDIVIDUAL,ACCEPTED,88
judicarm,T02D02,INDIVIDUAL,FAILED,0
kaciemag,T02D02,INDIVIDUAL,ACCEPTED,94
kafkanor,T02D02,INDIVIDUAL,FAILED,0
karinwin,T02D02,INDIVIDUAL,FAILED,0
kelleeta,T02D02,INDIVIDUAL,FAILED,0
keytarni,T02D02,INDIVIDUAL,FAILED,0
kitschel,T02D02,INDIVIDUAL,FAILED,0
kramerpe,T02D02,INDIVIDUAL,FAILED,0
kriskath,T02D02,INDIVIDUAL,FAILED,0
laciedel,T02D02,INDIVIDUAL,FAILED,18
lacyshin,T02D02,INDIVIDUAL,FAILED,0
ladderpe,T02D02,INDIVIDUAL,FAILED,0
lainepab,T02D02,INDIVIDUAL,FAILED,0
lainepro,T02D02,INDIVIDUAL,ACCEPTED,67
lalakrys,T02D02,INDIVIDUAL,FAILED,0
lannithe,T02D02,INDIVIDUAL,FAILED,0
largomor,T02D02,INDIVIDUAL,ACCEPTED,125
likttrad,T02D02,INDIVIDUAL,FAILED,0
lomokraz,T02D02,INDIVIDUAL,FAILED,0
lonnalar,T02D02,INDIVIDUAL,FAILED,0
lopeshig,T02D02,INDIVIDUAL,FAILED,0
lordarde,T02D02,INDIVIDUAL,FAILED,0
loreanko,T02D02,INDIVIDUAL,ACCEPTED,123
loreleir,T02D02,INDIVIDUAL,FAILED,0
luthorsh,T02D02,INDIVIDUAL,FAILED,0
magdacer,T02D02,INDIVIDUAL,FAILED,0
mahialmo,T02D02,INDIVIDUAL,FAILED,0
malleonc,T02D02,INDIVIDUAL,FAILED,0
mandakar,T02D02,INDIVIDUAL,FAILED,0
marquisd,T02D02,INDIVIDUAL,FAILED,0
mashacar,T02D02,INDIVIDUAL,FAILED,0
matchpar,T02D02,INDIVIDUAL,FAILED,0
matildae,T02D02,INDIVIDUAL,FAILED,0
maulange,T02D02,INDIVIDUAL,FAILED,0
mellieja,T02D02,INDIVIDUAL,FAILED,0
millydav,T02D02,INDIVIDUAL,ACCEPTED,104
minellar,T02D02,INDIVIDUAL,IN_REVIEWS,None
missmath,T02D02,INDIVIDUAL,FAILED,0
mollensh,T02D02,INDIVIDUAL,FAILED,0
mormontl,T02D02,INDIVIDUAL,FAILED,0
muckstri,T02D02,INDIVIDUAL,FAILED,0
mudcraby,T02D02,INDIVIDUAL,FAILED,0
nailsmar,T02D02,INDIVIDUAL,FAILED,0
naomanub,T02D02,INDIVIDUAL,FAILED,0
ninfasee,T02D02,INDIVIDUAL,FAILED,0
nonastar,T02D02,INDIVIDUAL,FAILED,0
nonawait,T02D02,INDIVIDUAL,FAILED,0
norreyma,T02D02,INDIVIDUAL,FAILED,0
okraeuni,T02D02,INDIVIDUAL,FAILED,0
opalreel,T02D02,INDIVIDUAL,FAILED,0
orionmet,T02D02,INDIVIDUAL,ACCEPTED,103
parvatir,T02D02,INDIVIDUAL,FAILED,0
pearliec,T02D02,INDIVIDUAL,FAILED,0
pepitasl,T02D02,INDIVIDUAL,FAILED,0
qarlforn,T02D02,INDIVIDUAL,FAILED,0
ramsaydr,T02D02,INDIVIDUAL,FAILED,0
raymondk,T02D02,INDIVIDUAL,ACCEPTED,89
reathabo,T02D02,INDIVIDUAL,FAILED,0
rendadew,T02D02,INDIVIDUAL,FAILED,0
richtyre,T02D02,INDIVIDUAL,FAILED,0
rinkofle,T02D02,INDIVIDUAL,FAILED,0
rockypot,T02D02,INDIVIDUAL,FAILED,0
rogantom,T02D02,INDIVIDUAL,FAILED,0
rosaural,T02D02,INDIVIDUAL,FAILED,0
salazarc,T02D02,INDIVIDUAL,FAILED,0
salviagl,T02D02,INDIVIDUAL,FAILED,0
scheinsh,T02D02,INDIVIDUAL,FAILED,0
seastarn,T02D02,INDIVIDUAL,FAILED,0
selmypai,T02D02,INDIVIDUAL,FAILED,0
semeleem,T02D02,INDIVIDUAL,FAILED,0
sharladi,T02D02,INDIVIDUAL,FAILED,0
shawnnag,T02D02,INDIVIDUAL,FAILED,0
shenrodu,T02D02,INDIVIDUAL,FAILED,0
shettdee,T02D02,INDIVIDUAL,FAILED,0
solegraz,T02D02,INDIVIDUAL,ACCEPTED,125
staceeca,T02D02,INDIVIDUAL,FAILED,0
steelyow,T02D02,INDIVIDUAL,FAILED,0
sundaehi,T02D02,INDIVIDUAL,FAILED,0
tamekath,T02D02,INDIVIDUAL,FAILED,0
templema,T02D02,INDIVIDUAL,FAILED,0
tendantc,T02D02,INDIVIDUAL,FAILED,0
terralip,T02D02,INDIVIDUAL,FAILED,0
tesskyok,T02D02,INDIVIDUAL,FAILED,0
tiesemoo,T02D02,INDIVIDUAL,FAILED,0
tolletth,T02D02,INDIVIDUAL,FAILED,0
tucodaug,T02D02,INDIVIDUAL,ACCEPTED,123
tweakcri,T02D02,INDIVIDUAL,FAILED,0
veigarde,T02D02,INDIVIDUAL,FAILED,0
vinniegr,T02D02,INDIVIDUAL,FAILED,0
virgenst,T02D02,INDIVIDUAL,FAILED,0
vixenpro,T02D02,INDIVIDUAL,FAILED,0
watersri,T02D02,INDIVIDUAL,FAILED,0
wendyken,T02D02,INDIVIDUAL,FAILED,0
xerathma,T02D02,INDIVIDUAL,ACCEPTED,103
yuunacad,T02D02,INDIVIDUAL,FAILED,0
yuunaela,T02D02,INDIVIDUAL,FAILED,0
adrienla,T02D02,INDIVIDUAL,ACCEPTED,100
aemongli,T02D02,INDIVIDUAL,FAILED,0
albinali,T02D02,INDIVIDUAL,FAILED,0
alexiaki,T02D02,INDIVIDUAL,FAILED,0
amymoneg,T02D02,INDIVIDUAL,FAILED,0
aprilkiz,T02D02,INDIVIDUAL,ACCEPTED,100
ardellaa,T02D02,INDIVIDUAL,FAILED,0
arlettaw,T02D02,INDIVIDUAL,FAILED,0
arneldlo,T02D02,INDIVIDUAL,FAILED,0
arnitaho,T02D02,INDIVIDUAL,FAILED,0
arwenhel,T02D02,INDIVIDUAL,FAILED,0
auroreex,T02D02,INDIVIDUAL,FAILED,0
avengerm,T02D02,INDIVIDUAL,FAILED,0
azzielan,T02D02,INDIVIDUAL,FAILED,0
bandybry,T02D02,INDIVIDUAL,FAILED,0
barbracr,T02D02,INDIVIDUAL,FAILED,0
bellyreg,T02D02,INDIVIDUAL,FAILED,0
billietr,T02D02,INDIVIDUAL,FAILED,0
billywil,T02D02,INDIVIDUAL,FAILED,0
blaisele,T02D02,INDIVIDUAL,FAILED,0
borvojor,T02D02,INDIVIDUAL,FAILED,0
bradbigg,T02D02,INDIVIDUAL,ACCEPTED,120
breamblo,T02D02,INDIVIDUAL,FAILED,0
broggcas,T02D02,INDIVIDUAL,FAILED,0
capersel,T02D02,INDIVIDUAL,FAILED,0
carlysea,T02D02,INDIVIDUAL,FAILED,0
carmelal,T02D02,INDIVIDUAL,FAILED,0
casieigg,T02D02,INDIVIDUAL,FAILED,0
casseydo,T02D02,INDIVIDUAL,FAILED,0
chadzula,T02D02,INDIVIDUAL,ACCEPTED,108
chuckalf,T02D02,INDIVIDUAL,FAILED,0
clockver,T02D02,INDIVIDUAL,FAILED,0
collioqy,T02D02,INDIVIDUAL,FAILED,0
crackedc,T02D02,INDIVIDUAL,FAILED,0
dagmarja,T02D02,INDIVIDUAL,ACCEPTED,35
dagnybea,T02D02,INDIVIDUAL,FAILED,0
dareonhe,T02D02,INDIVIDUAL,FAILED,0
darialif,T02D02,INDIVIDUAL,FAILED,0
